Date,AirParif_pm10,AirParif_pm2p5,Copernicus_pm10,Copernicus_pm2p5
2020-11-09,31.853846153846156,12.476923076923075,23.29692307692308,18.8
2020-11-10,7.995833333333334,4.304166666666666,17.776666666666667,6.808333333333334
2020-11-11,13.995833333333332,10.704166666666666,14.945833333333333,8.172916666666667
2020-11-12,8.815000000000001,6.3,11.1785,7.0825000000000005
2020-11-13,18.783333333333335,11.729166666666666,13.144166666666665,9.147916666666667
2020-11-14,15.916666666666666,9.775,16.205416666666668,8.368333333333334
2020-11-15,12.191666666666668,6.720833333333332,9.262500000000001,5.6575
2020-11-16,16.091666666666665,5.870833333333334,5.802499999999999,4.141666666666667
2020-11-17,15.370833333333332,6.4624999999999995,9.34125,4.922083333333334
2020-11-18,18.354166666666668,10.9,9.24875,4.8025
2020-11-19,14.495652173913042,5.547826086956522,11.653913043478262,6.247826086956521
